date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:23	101/101	---MCZ	200	added ('OK')	text/plain	date:Fri,%2027%20Dec%202024%2002:19:22%20GMT	https://wager.tw/robots.txt		(from )
10:19:23	369935/369935	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202024%2002:19:23%20GMT	https://wager.tw/	C:/My%20Websites/https___wager.tw_/wager.tw/index.html	(from )
10:19:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2027%20Dec%202024%2002:19:23%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Websites/https___wager.tw_/www.googletagmanager.com/gtm.05445.delayed	(from https://wager.tw/)
10:19:24	2000/2000	---M--	200	added ('OK')	image/webp	etag:%226d43fc10ac310f317cc915bed1222efa%22	https://wager.tw/upload/73/favicon_images/f0384c83-5977-4687-8719-1034b8150162.webp	C:/My%20Websites/https___wager.tw_/wager.tw/upload/73/favicon_images/f0384c83-5977-4687-8719-1034b8150162.webp	(from https://wager.tw/)
10:19:24	250965/250965	---MCZ	200	added ('OK')	text/css	etag:W/%22913e24850eec3c341193a2868284d4a0%22	https://wager.tw/plugins/content-box/assets/minimalist-blocks/content.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/assets/minimalist-blocks/content.css	(from https://wager.tw/)
10:19:24	1105/1105	---MCZ	200	added ('OK')	text/css	etag:W/%22d1c40e77dad23ce9c99429383d8dde07%22	https://wager.tw/plugins/content-box/assets/scripts/glide/css/glide.core.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/assets/scripts/glide/css/glide.core.css	(from https://wager.tw/)
10:19:24	8679/8679	---MCZ	200	added ('OK')	text/css	etag:W/%22b9525b7d211439e780d2c70dc2dee697%22	https://wager.tw/plugins/content-box/assets/scripts/glide/css/glide.theme.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/assets/scripts/glide/css/glide.theme.css	(from https://wager.tw/)
10:19:25	1895/1895	---MCZ	200	added ('OK')	text/css	etag:W/%22b06073c5a23326dcc332b78d42c7290c%22	https://wager.tw/plugins/content-box/assets/scripts/slick/slick.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/assets/scripts/slick/slick.css	(from https://wager.tw/)
10:19:25	7163/7163	---MCZ	200	added ('OK')	text/css	etag:W/%22875be733e2a5d5af4ba6725b36788a46%22	https://wager.tw/plugins/content-box/assets/scripts/slick/slick-theme.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/assets/scripts/slick/slick-theme.css	(from https://wager.tw/)
10:19:25	150928/150928	---MCZ	200	added ('OK')	text/css	etag:W/%226a8a666367bc90691fcdfdc086c5d244%22	https://wager.tw/plugins/content-box/box/box-flex.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/box/box-flex.css	(from https://wager.tw/)
10:19:25	13780/13780	---MCZ	200	added ('OK')	text/css	etag:W/%2232eaf04ec8a51d950a0864e913cbafaa%22	https://wager.tw/plugins/content-box/assets/scripts/lightbox/lightbox.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/content-box/assets/scripts/lightbox/lightbox.css	(from https://wager.tw/)
10:19:25	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22675318bd-302c%22	https://wager.tw/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Websites/https___wager.tw_/wager.tw/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://wager.tw/)
10:19:26	161384/161384	---MCZ	200	added ('OK')	text/css	etag:W/%2219aaa0aaf8b388f8a60957b9f9dbba95%22	https://wager.tw/template/canvas/6.1.4/css/bootstrap.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/bootstrap.min.css	(from https://wager.tw/)
10:19:26	249420/249420	---MCZ	200	added ('OK')	text/css	etag:W/%22053e1d16222277c22332927019ba52a8%22	https://wager.tw/template/canvas/6.1.4/style.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/style.min.css	(from https://wager.tw/)
10:19:26	9300/9300	---MCZ	200	added ('OK')	text/css	etag:W/%22ec95d4141a43f573f7b7da55c378cf1d%22	https://wager.tw/template/canvas/6.1.4/one-page/onepage.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/one-page/onepage.min.css	(from https://wager.tw/)
10:19:26	13418/13418	---MCZ	200	added ('OK')	text/css	etag:W/%2200bdb2b6beb773174a2c16b34047bc21%22	https://wager.tw/template/canvas/6.1.4/css/swiper.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/swiper.min.css	(from https://wager.tw/)
10:19:27	42178/42178	---MCZ	200	added ('OK')	text/css	etag:W/%22a3b124aaebf4bb0e12c94f53b97b8c85%22	https://wager.tw/template/canvas/6.1.4/css/dark.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/dark.min.css	(from https://wager.tw/)
10:19:27	107597/107597	---MCZ	200	added ('OK')	text/css	etag:W/%227a7e1e33cf92b3f4f5da7791f958114f%22	https://wager.tw/template/canvas/6.1.4/css/font-icons.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/font-icons.min.css	(from https://wager.tw/)
10:19:27	2929/2929	---MCZ	200	added ('OK')	text/css	etag:W/%22a643e2a00d70035a9a95198d094aadcb%22	https://wager.tw/template/canvas/7.3.1/css/font-icons.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/7.3.1/css/font-icons.min.css	(from https://wager.tw/)
10:19:27	73841/73841	---MCZ	200	added ('OK')	text/css	etag:W/%225ea03f592598b04d3cb686a4f7aca2fc%22	https://wager.tw/template/canvas/6.1.4/css/animate.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/animate.min.css	(from https://wager.tw/)
10:19:27	5787/5787	---MCZ	200	added ('OK')	text/css	etag:W/%22aa234ea3dc61e7348423dd1824536e5c%22	https://wager.tw/template/canvas/6.1.4/css/magnific-popup.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/magnific-popup.min.css	(from https://wager.tw/)
10:19:28	119/119	---MCZ	200	added ('OK')	text/css	etag:W/%22f51e057de0deac9d4fac9b8eab5ad73f%22	https://wager.tw/plugins/custom/web/css/font.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/custom/web/css/font.min.css	(from https://wager.tw/)
10:19:28	20251/20251	---MCZ	200	added ('OK')	text/css	etag:W/%220f0532fc187acd965e497d26eb39c019%22	https://wager.tw/plugins/custom/web/css/layout.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/custom/web/css/layout.min.css	(from https://wager.tw/)
10:19:28	102217/102217	---MCZ	200	added ('OK')	text/css	etag:W/%225222e06b77a1692fa2520a219840e6be%22	https://wager.tw/template/AdminLTE/plugins/fontawesome/free-6.4.2-web/css/all.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/AdminLTE/plugins/fontawesome/free-6.4.2-web/css/all.min.css	(from https://wager.tw/)
10:19:28	5956/5956	---MCZ	200	added ('OK')	text/css	etag:W/%220a3d66e7290a06a06b61d3c45d3c50b0%22	https://wager.tw/template/canvas/6.1.4/css/components/bs-switches.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/template/canvas/6.1.4/css/components/bs-switches.min.css	(from https://wager.tw/)
10:19:29	6024/6024	---MCZ	200	added ('OK')	text/css	etag:W/%2269669cc9bc2d5d237ea10c6fa18a55f1%22	https://wager.tw/plugins/custom/web/css/page.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/custom/web/css/page.min.css	(from https://wager.tw/)
10:19:29	1351/1351	---MCZ	200	added ('OK')	text/css	etag:W/%22be63928d4058476a30fedfa622bd1ed2%22	https://i.sharing.tw/plugins/content-box/assets/styles/type-poppins.css	C:/My%20Websites/https___wager.tw_/i.sharing.tw/plugins/content-box/assets/styles/type-poppins.css	(from https://wager.tw/)
10:19:29	14897/14897	---MCZ	200	added ('OK')	text/css	etag:W/%227aa03991b2b616b2d67a231227a45b1b%22	https://wager.tw/plugins/ckeditor5/css/ckeditor-style.min.css	C:/My%20Websites/https___wager.tw_/wager.tw/plugins/ckeditor5/css/ckeditor-style.min.css	(from https://wager.tw/)
10:19:29	12088/12088	---M--	200	added ('OK')	image/webp	etag:%22c5682f310293add1558e4b5f45e81915%22	https://wager.tw/upload/73/logo_images/747ee87c-8485-4688-8f85-91e92b16e9ef.webp	C:/My%20Websites/https___wager.tw_/wager.tw/upload/73/logo_images/747ee87c-8485-4688-8f85-91e92b16e9ef.webp	(from https://wager.tw/)
10:19:30	559387/559387	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202024%2002:19:29%20GMT	https://wager.tw/page/casino	C:/My%20Websites/https___wager.tw_/wager.tw/page/casino.html	(from https://wager.tw/)
10:19:30	416470/416470	---MCZ	200	added ('OK')	text/html	date:Fri,%2027%20Dec%202024%2002:19:29%20GMT	https://wager.tw/page/blog	C:/My%20Websites/https___wager.tw_/wager.tw/page/blog.html	(from https://wager.tw/)
